,chipid,month
193,05fb3175,7
194,05fd5ad1,8
195,0600f14b,9
196,06056511,8
197,0610fc19,0
198,06137b43,8
199,06158185,9
200,061637a0,10
201,061c4601,8
202,0620ddb2,9
203,06212e56,8
204,0625a02b,8
205,062b353e,9
206,0636b264,7
207,06479ab2,7
208,06483cd7,9
209,0651d43e,4
210,065520d3,11
211,0655e85d,8
212,0658093b,8
213,065d3bd8,9
214,065e3a97,8
215,06643e05,8
216,066b0311,9
217,067248a3,8
218,0676eb5d,11
219,0678c538,8
220,06843249,8
221,068e2563,8
222,06917114,8
223,0693e0a4,8
224,06b1fc3a,8
225,06b41dfc,8
226,06df3742,9
227,06e3d6af,8
228,06e891e5,8
229,06f112dd,9
230,06fc9487,8
231,071b57b1,0
232,071dc8a5,8
233,0729ea67,9
234,07378cde,8
235,073fb3e5,8
236,0751323a,0
237,07580a94,8
238,0761c4f1,8
239,07677e7e,8
240,076abd46,8
241,07741cb0,8
242,07765e15,8
243,077eaf9a,9
244,0781e3ed,8
245,0787865c,8
246,078ec944,8
247,07973811,10
248,07a084ca,8
249,07b9823a,0
250,07bcc6d6,9
251,07d1864c,5
252,07d6e963,8
253,07e3ec27,7
254,07ebc1f7,11
255,07f11c88,0
256,07f3cd5e,9
257,07f9f6a4,9
258,08084efe,8
259,080d8f1d,8
260,080ed0c5,8
261,080fb169,8
262,08103218,5
263,0817358a,8
264,0823f904,8
265,08251bb9,9
266,082cce42,9
267,0836d4c7,9
268,083a02c7,9
269,083f0dfb,8
270,08404854,9
271,084a44a0,1
272,085fcb0f,9
273,08676196,8
274,08686874,9
275,086c47df,8
276,086d7d16,0
277,088cd6f2,8
278,088dd40f,11
279,088e7b1a,8
280,089c5af4,8
281,08a18d5c,9
282,08a4dfe0,8
283,08a643d6,8
284,08a806a7,10
285,08c83160,7
286,08e0ff94,11
287,08ecfd3c,7
288,08f6b400,8
289,08f8e396,8
290,08ff8dd3,9
291,090636b0,9
292,090cec45,6
293,09171a70,9
294,09188771,10
295,09203898,8
296,0921957f,9
297,0929e279,7
298,092ce360,8
299,093a11a8,8
300,093a9e24,8
301,094567e5,9
302,0950a3da,9
303,095979c0,8
304,095cdde6,6
305,095d9117,10
306,0964800b,8
307,0979f778,5
308,097d3257,8
309,0980ecf3,8
310,09816493,9
311,0983a0f7,9
312,09914ef8,8
313,099191b9,8
314,09974f8c,8
315,099c6b3b,1
316,099e1a11,11
317,09a2cc22,8
318,09a30b35,10
319,09a84ecc,8
320,09a8596e,9
321,09cf24b5,8
322,09d20656,9
323,09dd7b70,8
324,09dde789,8
325,09e13567,11
326,09e36dd8,9
327,09e9ac7f,7
328,09f19109,6
329,09fd6d1a,8
330,0a04e5c1,8
331,0a073fe4,8
332,0a096068,10
333,0a105fce,8
334,0a132a88,8
335,0a35ad65,9
336,0a35b443,10
337,0a39dd9e,8
338,0a3d8f03,9
339,0a3faec0,9
340,0a58ac70,8
341,0a5fa091,9
342,0a65fa3f,9
343,0a676e24,9
344,0a684a97,9
345,0a6bc33f,8
346,0a781cab,8
347,0a81b559,8
348,0a81cdee,8
349,0a8b6998,9
350,0a9d13a4,8
351,0aa21699,7
352,0aa7fb10,8
353,0aac1e46,9
354,0ab097c9,8
355,0ac443da,8
356,0acc54b4,9
357,0acd8a27,1
358,0ad475a1,8
359,0ad57788,8
360,0ad655e2,9
361,0adf9e66,8
362,0ae6324a,11
363,0b0926dd,10
364,0b0eec49,8
365,0b255824,8
366,0b2c3886,8
367,0b30548f,9
368,0b3349ff,9
369,0b353ba8,8
370,0b36d307,8
371,0b45f44d,9
372,0b485d3b,9
373,0b5dd5d0,10
374,0b5de22d,8
375,0b6ae2b1,8
376,0b6f6d40,8
377,0b792613,8
378,0b8d5875,8
379,0ba2a063,8
380,0ba31a2c,4
381,0ba7bca7,8
382,0baa5577,8
383,0bac0847,8
384,0badc5ba,7
385,0bc9709a,9
386,0bc9b53c,8
387,0bdba623,8
388,0bde3a29,8
389,0be278ec,9
390,0bf069c3,0
391,0bf46883,8
392,0bf98345,8
393,0bfa0434,9
394,0c03fb03,9
395,0c0b40d3,9
396,0c13c720,9
397,0c19b4a5,8
398,0c1b5ede,8
399,0c1dea12,8
400,0c1e1474,10
401,0c258ba6,0
402,0c2af57b,9
403,0c340511,8
404,0c48b873,9
405,0c4a3582,8
406,0c4aafbf,8
407,0c4f11f0,10
408,0c65a284,9
409,0c6dc601,9
410,0c7ea7a7,5
411,0c9539fe,8
412,0c9d78ab,8
413,0ca16dfd,9
414,0ca69c96,8
415,0cb01158,8
416,0cc46779,10
417,0cc4de55,8
418,0cd8ffb5,9
419,0cda02ad,9
420,0cdb980d,8
421,0cdd0050,8
422,0d0be2c8,8
423,0d109e74,9
424,0d129e66,9
425,0d1c68af,9
426,0d226508,2
427,0d29f58c,7
428,0d2b5776,8
429,0d37cb5f,8
430,0d40d2ba,9
431,0d43e377,8
432,0d445fb6,9
433,0d46f24a,8
434,0d4b9de6,9
435,0d4bbc1a,8
436,0d5bc776,9
437,0d665376,9
438,0d68af9c,8
439,0d694ba9,8
440,0d710330,8
441,0d820bc7,7
442,0d8e3338,9
443,0d90aa12,7
444,0d93826f,1
445,0d9bc03c,9
446,0d9d5ac6,8
447,0dbe745e,8
448,0dc14cfd,8
449,0dc5a9b3,8
450,0dd2d6c9,9
451,0dd93df8,9
452,0ddd95d2,8
453,0de178b7,0
454,0de54a5e,8
455,0e04c0c7,8
456,0e081ce3,8
457,0e0dfb3b,6
458,0e174295,4
459,0e19de83,8
460,0e1b75bc,8
461,0e21d97c,8
462,0e2f6368,9
463,0e50ca04,8
464,0e5fff30,8
465,0e67339f,0
466,0e67ed1e,9
467,0e6911dd,9
468,0e6cd7a8,8
469,0e74f3ca,8
470,0e826cd4,8
471,0e82ba8f,8
472,0e83c7fe,8
473,0e8b2ac7,9
474,0e8efa76,8
475,0e8f061c,11
476,0e92cd13,4
477,0e95dc51,8
478,0ea3ff4c,8
479,0ea789a8,8
480,0eaa6bdf,11
481,0eb18cbe,10
482,0ebea80a,8
483,0ebf5d45,9
484,0ebf6765,8
485,0ec976dc,8
486,0ecb75df,8
487,0ecc9585,9
488,0ed6856a,10
489,0ee6ad89,8
490,0ef7b574,8
491,0efa5c94,8
492,0f07f1d0,8
493,0f08c93b,10
494,0f0a493a,9
495,0f119d95,9
496,0f123dad,9
497,0f24e6a8,9
498,0f26a281,9
499,0f26e952,8
500,0f28166a,8
501,0f3dfa71,8
502,0f478b85,8
503,0f54b847,9
504,0f5a4563,9
505,0f5d3266,8
506,0f663c46,8
507,0f687c36,9
508,0f6faf05,9
509,0f705e95,8
510,0f709309,8
511,0f75684e,9
512,0f77b53e,0
513,0f8a4733,9
514,0f8f5c4e,8
515,0f908375,0
516,0f941205,9
517,0f967a67,1
518,0f97ca13,2
519,0f9cf58a,8
520,0fa196fb,8
521,0fa1f946,9
522,0fae8d98,9
523,0fba70be,9
524,0fbaeaed,8
525,0fbff89f,9
526,0fc676e7,1
527,0fc70cb9,8
528,0fcf82e4,8
529,0fd2954e,9
530,0fd644ae,8
531,0fd7b6dd,9
532,0fdb9f77,10
533,0fdd733f,8
534,0fde7165,9
535,0feabc85,8
536,0fef27ce,1
537,0ff268b1,11
538,0ffaa79e,8
539,100c9e0c,10
540,10148836,1
541,1022440a,11
542,1023cbd6,10
543,10339b8e,8
544,10429d71,8
545,10519639,3
546,1088bebb,8
547,108f49f3,8
548,109117ef,8
549,109560c3,8
550,109add1e,9
551,109be0f6,8
552,10a07ed0,11
553,10a179b8,9
554,10aec4e9,8
555,10b290d1,8
556,10b2e090,11
557,10b7aa9a,2
558,10bca2b9,8
559,10c4a409,8
560,10c4a551,8
561,10c903e4,7
562,10cddd46,9
563,10d8338c,0
564,10dd7864,8
565,10ddceda,8
566,10e2ac42,8
567,10e402d8,9
568,10e8d157,9
569,10eb4b3e,9
570,10fcf382,9
571,11082fab,10
572,1116e6fa,10
573,1117109a,10
574,1121c294,7
575,11220d4c,9
576,1141c57b,8
577,1145aa56,8
578,114cdf32,9
579,114ce554,9
580,115ae9a0,8
581,115ff5d8,8
582,11679ec2,8
583,11684502,8
584,116917f1,10
585,116e9d64,8
586,117b670a,8
587,1194d9b8,8
588,1199f6fa,8
589,11a05bb0,8
590,11acb23f,8
591,11b305f0,8
592,11b99653,8
593,11c945aa,7
594,11db9e19,9
595,11dfb643,11
596,11e4de70,9
597,11fc4d5f,8
598,11fe604f,9
599,11feb2e5,0
600,1210a461,8
601,121f6463,2
602,12224d5f,9
603,122ef21e,8
604,123067b1,8
605,1232b976,8
606,124f631a,9
607,1250c93f,9
608,1252f4d7,10
609,12534830,8
610,1259d0a9,10
611,125b32ae,0
612,128287c0,8
613,128adae8,9
614,128eb2aa,8
615,1291713b,8
616,12a71535,9
617,12b8cf9c,7
618,12c02d4b,10
619,12cc0324,7
620,12d4474f,8
621,12d58dcc,8
622,12d934e3,9
623,12e972b8,9
624,12ed637a,8
625,12f74127,8
626,12fb5503,8
627,12fd7631,9
628,1307a04a,9
629,131806e4,8
630,131c9c06,9
631,1324f4d5,8
632,132590e4,7
633,13263137,8
634,13389308,8
635,134430e4,5
636,13444622,9
637,1348d51a,9
638,135027e8,8
639,1355dfaa,10
640,135da382,9
641,136423b2,0
642,136af50d,8
643,136e2139,9
644,137884a2,9
645,1379a8c4,7
646,137c96c6,8
647,137eb3f7,8
648,1380e8f4,8
649,1385fc6b,9
650,13892357,9
651,138bc232,8
652,1398c186,9
653,13a080c9,8
654,13a24a0e,8
655,13b3308d,9
656,13c3cd1e,8
657,13cc8832,8
658,13cf35fa,7
659,13e8c3a5,9
660,13f5a73e,8
661,13fc1f56,8
662,13fc84d8,8
663,1410e147,0
664,1417b0a6,8
665,14279b82,8
666,1436fa9d,8
667,14397bfb,8
668,1446b274,9
669,144e144c,9
670,145d0600,8
671,1460c6b1,8
672,14633304,11
673,146c7d5c,10
674,1475c48e,8
675,147c9028,8
676,1481964f,8
677,1481ee37,8
678,14888ef2,8
679,1490037d,8
680,149f144d,8
681,14ba8aab,8
682,14cd6946,8
683,14cf1ec4,8
684,14d3b92b,7
685,14db0101,8
686,14e2540f,8
687,14fe1473,8
688,150299cf,7
689,150695ef,10
690,150b249d,9
691,1510e9cd,9
692,1511cb4d,9
693,15154fa6,9
694,151cf430,8
695,153a51b7,9
696,153fb447,8
697,1541e9dc,8
698,1541fb61,0
699,1549f396,8
700,15524a1f,8
701,1556ffec,8
702,155fbfd7,8
703,15623d55,8
704,1567ab76,8
705,1569b4e2,8
706,156a36c8,10
707,156a6a96,8
708,157158e8,9
709,15728cd4,1
710,1580dc60,7
711,159a09be,9
712,159a4fce,10
713,15ab3b9a,9
714,15b23ce1,8
715,15bc6b41,9
716,15bf4479,8
717,15c7876b,7
718,15ca148b,8
719,15d03d91,11
720,15e2454a,9
721,15e43b1c,8
722,15e8a734,9
723,15f686c8,8
724,15fbfeff,9
725,15ff0c73,9
726,161ca1ea,8
727,1628fba4,8
728,162bdc23,8
729,163ae886,9
730,163e6988,9
731,1648a27a,9
732,1657fc67,10
733,166078d6,8
734,16635583,8
735,166be7d7,8
736,16709fa3,8
737,168d2687,10
738,169059e0,4
739,1693843f,8
740,1693bbe7,8
741,16999324,1
742,16a87337,8
743,16afe4a7,8
744,16b80308,8
745,16c09f38,8
746,16c80351,8
747,16d8cac6,7
748,16db3af7,8
749,16df9dc7,11
750,16f624b6,8
751,16fc7acc,9
752,17058554,9
753,1718f00d,8
754,171caf70,8
755,1727ff76,8
756,173902ba,8
757,173f6c91,8
758,17432244,8
759,1746b831,9
760,174ca2b3,11
761,17512095,8
762,1753a3b1,8
763,1756103d,8
764,175c2e5e,6
765,176e5ab2,8
766,177a7af9,8
767,177bab49,9
768,177ce4ba,9
769,179095b6,7
770,17912870,7
771,17912e75,8
772,179460ce,9
773,179cfc99,9
774,179eedaa,8
775,17a40ea5,11
776,17ad734b,8
777,17b83678,6
778,17c2a733,8
779,17c3913b,7
780,17d0234d,8
781,17d0eeb0,8
782,17de67d1,9
783,17e8e8be,8
784,17eb4d69,8
785,17f54050,10
786,17fd0184,8
787,180eef35,8
788,1811929e,8
789,1816d18d,8
790,1820f58c,8
791,18233e50,8
792,182b00e9,9
793,1834b1fc,9
794,183a0b6c,0
795,183ee57b,9
796,1848af90,7
797,1856baeb,8
798,18595b6b,8
799,18694516,0
800,186a1895,8
801,186c990c,8
802,186ddf71,9
803,1876694c,8
804,187cf18b,8
805,188772ab,8
806,18a96bec,8
807,18ab8a17,8
808,18d3b697,8
809,18d952b3,9
810,18ef433e,9
811,18f1047f,8
812,1904d828,9
813,190974c2,8
814,190bb25c,10
815,19149c65,9
816,19204d6f,8
817,1925f7d8,0
818,192eb2e0,0
819,193364a3,8
820,19339797,8
821,19354358,8
822,1936f8a5,9
823,19385711,9
824,193d4a66,7
825,1942f772,8
826,194366ae,8
827,19457017,10
828,194f6b2f,10
829,195487ec,8
830,196298ea,8
831,196c199c,8
832,19720e70,10
833,197e48d0,8
834,19842835,8
835,1987c5e7,8
836,1990d8e4,10
837,1993b36e,8
838,19a0fe11,9
839,19aa0cc6,9
840,19ae04fe,8
841,19bdd036,7
842,19c50fe1,9
843,19ca3adf,8
844,19ccf803,8
845,19d7cbd4,8
846,19da9e8f,9
847,19e57ad4,8
848,19e5e877,8
849,19e8e599,8
850,19ea29be,8
851,19fd52db,9
852,1a00c008,3
853,1a01514c,1
854,1a1addd1,8
855,1a1f591d,8
856,1a2e7791,8
857,1a346c55,8
858,1a5fcd05,8
859,1a65b34b,8
860,1a6df311,8
861,1a7b9694,8
862,1a7ddc2a,8
863,1a7ff67a,1
864,1a8b952f,7
865,1a9adc0a,8
866,1a9e2daa,8
867,1aa3f35a,10
868,1aab2ea9,8
869,1aab5941,8
870,1ac58eda,8
871,1acdf4b6,8
872,1ad89b8a,9
873,1adefc20,8
874,1aebea76,8
875,1af64c1a,9
876,1b1593e8,8
877,1b222645,8
878,1b35b32d,8
879,1b3c30c3,8
880,1b3d7911,9
881,1b3ede02,9
882,1b46e768,11
883,1b529f31,8
884,1b637aff,6
885,1b6d359c,9
886,1b6e62fd,8
887,1b7a76f8,6
888,1b82cc99,9
889,1b875bb0,8
890,1b8c97f8,9
891,1b8fc47d,8
892,1b9151ba,9
893,1b9366bb,9
894,1b940233,4
895,1b9a4249,8
896,1b9eb19c,8
897,1ba61dc5,8
898,1ba7050d,9
899,1bb91fe9,8
900,1bbb53f8,8
901,1bc0d9ae,8
902,1bcc6727,6
903,1bd00a0a,9
904,1bd0b18f,9
905,1bd3ee4a,11
906,1bd933c5,8
907,1bebc830,8
908,1bed1748,8
909,1bf613a4,8
910,1bffc196,9
911,1c04573f,9
912,1c148fd3,8
913,1c1b81c5,8
914,1c1d8121,8
915,1c28eda9,0
916,1c2a6886,7
917,1c2d43ef,8
918,1c312517,9
919,1c336d22,8
920,1c5787b1,10
921,1c736465,8
922,1c81862c,9
923,1c86e26b,8
924,1c9623a5,3
925,1ca90e13,6
926,1cb30c14,8
927,1cba4cb1,8
928,1cc02390,9
929,1cc6f00a,8
930,1cc6f78e,8
931,1cd4956a,7
932,1cd6323f,7
933,1cec2f2a,8
934,1cf21b01,8
935,1d09f0c5,9
936,1d0b56ee,8
937,1d0dea6d,8
938,1d14bdf1,8
939,1d1bc8a6,8
940,1d2d0900,11
941,1d2e7fe8,8
942,1d4a14a9,8
943,1d4b9701,8
944,1d67d611,8
945,1d6f0a50,8
946,1d7700eb,8
947,1d780d43,9
948,1d8197ac,9
949,1d894be4,7
950,1d91f6c0,8
951,1d98f768,8
952,1d9b9f68,8
953,1da8bab2,9
954,1dae5100,8
955,1dafc60e,8
956,1dbb1f3b,8
957,1dc17c6e,8
958,1dc400fb,8
959,1dd63a3c,8
960,1dd88b4d,10
961,1ddfcbf5,6
962,1df195ad,8
963,1df48338,8
964,1df672f8,9
965,1df6d645,8
966,1df8214b,9
967,1dfca7aa,9
968,1e09df9e,9
969,1e131583,4
970,1e22799e,8
971,1e2e0888,10
972,1e3ca03e,8
973,1e3ec866,8
974,1e4111fb,8
975,1e484125,8
976,1e48eed0,9
977,1e5c6d42,5
978,1e63615b,8
979,1e6e8b4e,8
980,1e7789ff,10
981,1e7a610e,8
982,1e80a4fe,10
983,1e846dae,9
984,1e9649f3,8
985,1e9c4780,9
986,1eaf2bf8,8
987,1eb353bb,11
988,1eba01c1,8
989,1ec2f8ed,9
990,1ec3d1e1,8
991,1ecb9142,9
992,1ecd8946,9
993,1ed5831c,8
994,1edd7e96,8
995,1ede41e2,8
996,1efd5999,8
997,1f01c926,8
998,1f121e14,8
999,1f133781,8
1000,1f1e3051,8
1001,1f27b777,7
1002,1f457003,8
1003,1f488fa3,8
1004,1f5105fc,8
1005,1f52d85c,0
1006,1f5b4417,8
1007,1f5bd1ff,10
1008,1f5dedeb,8
1009,1f66e360,8
1010,1f6f4cc9,8
1011,1f7a1c20,8
1012,1f7d51c7,10
1013,1f7f40f9,8
1014,1f7f5ed1,9
1015,1f81db02,8
1016,1f874243,8
1017,1f9d2ede,8
1018,1f9dff25,8
1019,1f9eb218,8
1020,1fa53a1f,8
1021,1fa5f900,8
1022,1faa6c9d,8
1023,1facee16,11
1024,1facfb15,8
1025,1fc2a8f3,8
1026,1fc37020,9
1027,1fc47e8f,8
1028,1fd598be,8
1029,1fdba21b,9
1030,1fdc7e4a,9
1031,1fe911c0,8
1032,1fed43f7,8
1033,1fee1e0b,8
1034,1fefddce,8
1035,1ffc9fd9,9
1036,2003e1cb,8
1037,20059cb1,9
1038,200ab9f1,8
1039,200fbfd6,8
1040,2015b851,9
1041,2019d0e2,8
1042,202b279b,9
1043,202f0b2d,8
1044,20313fce,8
1045,203189c7,8
1046,20453090,8
1047,2047b4fc,8
1048,204c75d9,11
1049,20521c9e,6
1050,2069d170,8
1051,2076da02,8
1052,20794adc,8
1053,207ff668,8
1054,20821294,9
1055,20846438,9
1056,2086e0ed,9
1057,2092fc97,8
1058,20992fbd,9
1059,20994a2a,8
1060,209c9c68,9
1061,20c369bd,9
1062,20c41e1a,9
1063,20cae74a,8
1064,20cbe58f,8
1065,20d187b8,9
1066,20d70cb6,8
1067,20df6245,7
1068,20e51468,9
1069,210a6b24,8
1070,210fba90,8
1071,210ff02e,8
1072,211d1cf9,8
1073,212384c6,9
1074,2127ae5d,7
1075,2138cd5e,8
1076,2139c07b,8
1077,213b378c,8
1078,214c2be8,8
1079,214e4eb6,8
1080,214f24fa,7
1081,2168593f,7
1082,21688518,9
1083,218e148e,8
1084,2190eda5,9
1085,219999da,9
1086,21b1cbba,10
1087,21c5b44c,9
1088,21c6ef91,8
1089,21caef7f,8
1090,21cfd61f,8
1091,21d6c7f7,11
1092,21e3a6bf,8
1093,21e79cf6,8
1094,220627eb,8
1095,220d5c8f,8
1096,22144130,9
1097,221d0aac,8
1098,22267e7c,8
1099,222abd19,8
1100,2242caee,8
1101,2249b2b4,8
1102,2257154d,8
1103,225d3efe,8
1104,225f0445,8
1105,22624011,8
1106,227f24ff,8
1107,227f5ad6,8
1108,22828ce4,9
1109,2288d155,9
1110,228b9dc2,11
1111,228f67bc,8
1112,22914b51,8
1113,22a1507e,11
1114,22b7e96b,11
1115,22cc51b3,9
1116,22d0987b,8
1117,22db73e4,8
1118,230db390,9
1119,231022fc,8
1120,23141549,10
1121,2314ae92,6
1122,23159416,9
1123,23172888,8
1124,231a5d2b,1
1125,232b5906,8
1126,233091c1,0
1127,2333bd5b,8
1128,2337109d,8
1129,2345e099,9
1130,234a757f,8
1131,234bdd78,8
1132,234fae21,8
1133,23522c63,0
1134,235884cb,9
1135,2361b68d,8
1136,2365c9ea,9
1137,236b160d,9
1138,236d8372,8
1139,2370bb80,8
1140,2384b510,8
1141,2397ee78,7
1142,23983c1e,0
1143,239e325b,0
1144,23a37937,8
1145,23af9716,8
1146,23b56d8d,8
1147,23b8d945,7
1148,23c2080f,9
1149,23c2daef,10
1150,23c89e44,8
1151,23cf0270,7
1152,23d14c5d,8
1153,23d1ad6b,8
1154,23d486b5,9
1155,23e1f93f,8
1156,23e65913,10
1157,23e96184,9
1158,23fdc995,8
1159,24001980,4
1160,2408503c,8
1161,2409a7cf,9
1162,24158908,8
1163,24177c3f,8
1164,242112f7,8
1165,242d21ba,8
1166,24318dce,9
1167,243bad58,9
1168,2441d664,9
1169,24478cc7,8
1170,244cb44b,8
1171,245c2893,9
1172,245dda04,8
1173,246363fd,8
1174,246976f8,1
1175,24714f57,8
1176,2485e030,9
1177,24898d6e,9
1178,24a4769c,8
1179,24c99b0c,8
1180,24cd3bd1,8
1181,24d3eb10,0
1182,24ddaeb6,10
1183,24ddf521,7
1184,24e112ce,10
1185,24eb6b8c,8
1186,24ebb572,7
1187,24f427d2,9
1188,24f6e665,7
1189,24fb5fe4,9
1190,24ffdd7f,10
1191,2507ecb5,5
1192,250e37c2,8
1193,2511058a,8
1194,25185e84,8
1195,251a44e0,8
1196,2525b20e,8
1197,25265599,2
1198,2529d526,10
1199,252b0e8c,8
1200,25420997,7
1201,254ec31f,7
1202,25574e27,8
1203,256d514e,11
1204,256dd9e0,8
1205,2578965b,9
1206,2585d358,9
1207,2586d767,8
1208,2586fc66,8
1209,25991e82,10
1210,25a25054,8
1211,25a4f537,9
1212,25a677c3,8
1213,25a7bd83,8
1214,25ae3302,7
1215,25b9265b,8
1216,25bf6b1c,8
1217,25cdb138,9
1218,25d9c808,8
1219,25e8a6f7,8
1220,25ef7548,8
1221,25f2768a,9
1222,25f96e57,5
1223,25fc0763,11
1224,25fd4e5d,8
1225,260d5df4,8
1226,26133a88,8
1227,261ac17a,8
1228,26327df5,9
1229,2637f129,8
1230,2638c7e8,8
1231,263b0030,11
1232,263cba48,8
1233,2648250f,8
1234,26497121,8
1235,26509b20,10
1236,26622ebc,8
1237,2665af1d,8
1238,2677ff5c,8
1239,2679121a,9
1240,26834d19,8
1241,2688894c,1
1242,268d4697,9
1243,26962c53,7
1244,269e7e9b,8
1245,26a19762,11
1246,26a9fa51,1
1247,26b02643,0
1248,26b2822c,9
1249,26b365a3,9
1250,26b94de7,8
1251,26bec361,9
1252,26bf9a52,9
1253,26ddd09d,8
1254,26e1dc0b,8
1255,26ea6cd0,8
1256,26ede19f,7
1257,26ef32b5,10
1258,26f47917,8
1259,26f5737c,9
1260,27194589,8
1261,271a5d14,8
1262,2723f727,9
1263,272a11fc,8
1264,272e9b6f,8
1265,2736d4e4,8
1266,27495cd7,8
1267,2760383c,8
1268,27641393,9
1269,276424eb,0
1270,2771874b,9
1271,2773bbe5,9
1272,2784de8b,11
1273,278b1590,8
1274,2790b46b,8
1275,2791bca1,8
1276,27967134,9
1277,279cabf6,8
1278,27a1ae34,11
1279,27a2d815,8
1280,27a7817e,10
1281,27b4e820,9
1282,27b57f0a,8
1283,27b6c6d9,9
1284,27b791ea,8
1285,27bc36c7,9
1286,27bfab7d,9
1287,27bfd2a2,9
1288,27c08d15,6
1289,27c33457,8
1290,27ddd20d,9
1291,27f2e0b0,8
1292,27fa7b3d,8
1293,280c8135,8
1294,280f9a8b,8
1295,28162c0c,9
1296,281726ca,8
1297,28177495,9
1298,2818652d,8
1299,282247eb,8
1300,2824d817,8
1301,28261d2d,9
1302,2828dfc6,8
1303,282b3b06,9
1304,282b5016,5
1305,283a06c2,8
1306,28439736,9
1307,2844f6c1,8
1308,284543b9,8
1309,28465227,8
1310,2850e384,8
1311,2854a358,0
1312,28558cf6,8
1313,285a952f,8
1314,285c751c,8
1315,285e7d45,7
1316,28642d40,8
1317,2866b2a1,9
1318,28766ac6,8
1319,28780f09,8
1320,287b26a3,9
1321,2889835c,8
1322,288afc34,8
1323,28903853,8
1324,289918cd,9
1325,289db096,8
1326,289e1a99,9
1327,28a126f5,8
1328,28a75ee5,8
1329,28ac85b5,9
1330,28b1208a,8
1331,28bb5e3d,8
1332,28c31c55,8
1333,28c3d1d1,8
1334,28cdf6a9,8
1335,28d02327,9
